date,cases
2022-01-01,41875
2022-01-02,43275
2022-01-03,43820
2022-01-04,43930
2022-01-05,42262
2022-01-06,40377
2022-01-07,39435
2022-01-08,40048
2022-01-09,37228
2022-01-10,32597
2022-01-11,27775
2022-01-12,24336
2022-01-13,21195
2022-01-14,19629
2022-01-15,18112
2022-01-16,16900
2022-01-17,14423
2022-01-18,13170
2022-01-19,11651
2022-01-20,10186
2022-01-21,8974
2022-01-22,8476
2022-01-23,7919
2022-01-24,7290
2022-01-25,6308
2022-01-26,5538
2022-01-27,4999
2022-01-28,4512
2022-01-29,4002
2022-01-30,3681
2022-01-31,3213
2022-02-01,2822
2022-02-02,2528
2022-02-03,2270
2022-02-04,2079
2022-02-05,2153
2022-02-06,2062
2022-02-07,1833
2022-02-08,1715
2022-02-09,1557
2022-02-10,1438
2022-02-11,1352
2022-02-12,1299
2022-02-13,1231
2022-02-14,1136
2022-02-15,1048
2022-02-16,983
2022-02-17,926
2022-02-18,879
2022-02-19,845
2022-02-20,832
2022-02-21,764
2022-02-22,725
2022-02-23,693
2022-02-24,663
2022-02-25,636
2022-02-26,624
2022-02-27,623
2022-02-28,645
2022-03-01,632
2022-03-02,628
2022-03-03,619
2022-03-04,612
2022-03-05,606
2022-03-06,604
2022-03-07,594
2022-03-08,606
2022-03-09,603
2022-03-10,626
2022-03-11,650
2022-03-12,648
2022-03-13,664
2022-03-14,706
2022-03-15,733
2022-03-16,773
2022-03-17,778
2022-03-18,814
2022-03-19,844
2022-03-20,881
2022-03-21,951
2022-03-22,1025
2022-03-23,1089
2022-03-24,1162
2022-03-25,1213
2022-03-26,1252
2022-03-27,1273
2022-03-28,1309
2022-03-29,1338
2022-03-30,1380
2022-03-31,1438
2022-04-01,1479
2022-04-02,1512
2022-04-03,1540
2022-04-04,1644
2022-04-05,1726
2022-04-06,1817
2022-04-07,1892
2022-04-08,1975
2022-04-09,2027
2022-04-10,2074
2022-04-11,2146
2022-04-12,2220
2022-04-13,2306
2022-04-14,2363
2022-04-15,2391
2022-04-16,2407
2022-04-17,2379
2022-04-18,2350
2022-04-19,2343
2022-04-20,2282
2022-04-21,2239
2022-04-22,2222
2022-04-23,2260
2022-04-24,2347
2022-04-25,2459
2022-04-26,2568
2022-04-27,2674
2022-04-28,2784
2022-04-29,2930
2022-04-30,2967
2022-05-01,3037
2022-05-02,3181
2022-05-03,3327
2022-05-04,3494
2022-05-05,3653
2022-05-06,3714
2022-05-07,3757
2022-05-08,3783
2022-05-09,3887
2022-05-10,3936
2022-05-11,3999
2022-05-12,4064
2022-05-13,4145
2022-05-14,4248
2022-05-15,4308
2022-05-16,4344
2022-05-17,4375
2022-05-18,4419
2022-05-19,4389
2022-05-20,4376
2022-05-21,4370
2022-05-22,4376
2022-05-23,4392
2022-05-24,4354
2022-05-25,4273
2022-05-26,4201
2022-05-27,4064
2022-05-28,3945
2022-05-29,3842
2022-05-30,3348
2022-05-31,3395
2022-06-01,3350
2022-06-02,3317
2022-06-03,3338
2022-06-04,3343
2022-06-05,3328
2022-06-06,3581
2022-06-07,3347
2022-06-08,3229
2022-06-09,3129
2022-06-10,3065
2022-06-11,3011
2022-06-12,2973
2022-06-13,2939
2022-06-14,2930
2022-06-15,2927
2022-06-16,2914
2022-06-17,2921
2022-06-18,2982
2022-06-19,2999
2022-06-20,2905
2022-06-21,3032
2022-06-22,3089
2022-06-23,3174
2022-06-24,3241
2022-06-25,3279
2022-06-26,3361
2022-06-27,3588
2022-06-28,3592
2022-06-29,3664
2022-06-30,3705
2022-07-01,3778
