date,total_pop,total_load,weighted_avg
2020-08-31,8604699,6022,0.000699850163265444
2020-09-02,8604699,499,5.79915694901123e-05
2020-09-06,8604699,2215,0.000257417487816831
2020-09-08,8604699,53279,0.00619184936044829
2020-09-13,8604699,20551,0.00238834618154569
2020-09-15,8604699,9481,0.00110183982031213
2020-09-20,8604699,29743,0.00345659970209301
2020-09-22,8604699,9596,0.00111520461087599
2020-09-27,8604699,16862,0.00195962694337129
2020-09-29,8604699,0,0
2020-10-04,8604699,0,0
2020-10-06,8604699,29852,0.00346926719923614
2020-10-11,8604699,20953,0.00243506484073412
2020-10-13,8604699,38014,0.00441781868255938
2020-10-18,8604699,32523,0.0037796789870279
2020-10-20,8604699,58548,0.00680418919941302
2020-10-25,8604699,33382,0.00387950816176138
2020-10-27,8604699,48545,0.005641684851498
2020-11-01,8604699,37115,0.00431334088502108
2020-11-03,8604699,51175,0.00594733180091483
2020-11-08,8604699,117904,0.0137022805794834
2020-11-10,8604699,110336,0.0128227611448117
2020-11-15,8604699,46499,0.00540390779503153
2020-11-17,8604699,67864,0.00788685345065528
2020-11-22,8604699,109835,0.0127645371441813
2020-11-24,8604699,136741,0.0158914332738426
2020-11-29,8604699,179118,0.0208163004888376
2020-12-01,8604699,150521,0.0174928838301026
2020-12-06,8604699,183206,0.02129138973949
2020-12-08,8604699,292186,0.0339565625712184
2020-12-13,8604699,275324,0.0319969356278471
2020-12-15,8604699,251715,0.029253202232873
2020-12-20,8604699,233585,0.027146213946589
2020-12-22,8604699,209915,0.0243953914018375
2020-12-27,8604699,208722,0.0242567462266838
2020-12-29,8604699,143171,0.0166386993897172
2021-01-03,8604699,237585,0.0276110762270708
2021-01-05,8604699,305188,0.0354675974139247
2021-01-10,8604699,225905,0.0262536783680638
2021-01-12,8604699,338859,0.0393806918754509
2021-01-17,8604699,240181,0.0279127718471035
2021-01-19,8604699,172855,0.0200884423731731
2021-01-24,8604699,266245,0.0309418144667234
2021-01-26,8604699,342808,0.0398396271618566
2021-01-31,8604699,336384,0.0390930583394027
2021-02-07,8604699,203958,0.0237030952506299
2021-02-14,8604699,183973,0.0213805270817724
2021-02-21,8604699,240665,0.0279690201830418
