,latitude,longitude,wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,sampling_prior,sample_prior_date,percentile
0,37.658046,-77.334781,Virginia,1160,Virginia,Treatment plant,,CDC_BIOBOT_va_1160_Treatment plant_post grit removal,Hanover,51085,20000,2022-11-17,2022-12-01,,100,no,2022-05-30,40.4
1,36.896307,-76.289053,Virginia,1195,Virginia,Treatment plant,,CDC_BIOBOT_va_1195_Treatment plant_raw wastewater,Norfolk City,51710,78322,2022-11-17,2022-12-01,-16,100,no,2022-06-06,28.2
2,36.993417,-76.416403,Virginia,1197,Virginia,Treatment plant,,CDC_BIOBOT_va_1197_Treatment plant_raw wastewater,York,51199,118497,2022-11-17,2022-12-01,57,100,no,2022-06-06,43.2
3,36.891606,-82.654215,Virginia,1198,Virginia,Treatment plant,,CDC_BIOBOT_va_1198_Treatment plant_raw wastewater,Wise,51195,9340,2022-11-17,2022-12-01,,100,no,2022-06-06,15.4
4,37.193982,-76.434709,Virginia,1211,Virginia,Treatment plant,,CDC_BIOBOT_va_1211_Treatment plant_raw wastewater,York,51199,99112,2022-11-17,2022-12-01,159,100,no,2022-06-06,22.2
5,37.193982,-76.434709,Virginia,1211,Virginia,Treatment plant,,CDC_BIOBOT_va_1211_Treatment plant_raw wastewater,Gloucester,51073,99112,2022-11-17,2022-12-01,159,100,no,2022-06-06,22.2
6,37.193982,-76.434709,Virginia,1211,Virginia,Treatment plant,,CDC_BIOBOT_va_1211_Treatment plant_raw wastewater,Mathews,51115,99112,2022-11-17,2022-12-01,159,100,no,2022-06-06,22.2
7,37.21661,-77.398493,Virginia,1218,Virginia,Before treatment plant,86,CDC_BIOBOT_va_1218_Before treatment plant_86_raw wastewater,Petersburg City,51730,30000,2022-11-17,2022-12-01,-84,100,no,2022-06-14,22
8,36.989767,-79.854009,Virginia,1272,Virginia,Treatment plant,,CDC_BIOBOT_va_1272_Treatment plant_raw wastewater,Franklin,51067,5000,2022-11-17,2022-12-01,,,no,2022-06-20,
9,37.20709,-77.386893,Virginia,892,Virginia,Treatment plant,,CDC_BIOBOT_va_892_Treatment plant_post grit removal,Colonial Heights City,51570,65000,2022-11-17,2022-12-01,385,100,no,2022-06-01,43.25
10,37.20709,-77.386893,Virginia,892,Virginia,Treatment plant,,CDC_BIOBOT_va_892_Treatment plant_post grit removal,Petersburg City,51730,65000,2022-11-17,2022-12-01,385,100,no,2022-06-01,43.25
11,37.20709,-77.386893,Virginia,892,Virginia,Treatment plant,,CDC_BIOBOT_va_892_Treatment plant_post grit removal,Prince George,51149,65000,2022-11-17,2022-12-01,385,100,no,2022-06-01,43.25
12,37.20709,-77.386893,Virginia,892,Virginia,Treatment plant,,CDC_BIOBOT_va_892_Treatment plant_post grit removal,Chesterfield,51041,65000,2022-11-17,2022-12-01,385,100,no,2022-06-01,43.25
13,37.20709,-77.386893,Virginia,892,Virginia,Treatment plant,,CDC_BIOBOT_va_892_Treatment plant_post grit removal,Dinwiddie,51053,65000,2022-11-17,2022-12-01,385,100,no,2022-06-01,43.25
14,42.942756,-73.102982,Vermont,1157,Vermont,Treatment plant,,CDC_BIOBOT_vt_1157_Treatment plant_raw wastewater,Bennington,50003,15000,2022-11-17,2022-12-01,,100,no,2022-05-30,49
15,47.428451,-121.791988,Washington,1139,Washington,Treatment plant,,CDC_BIOBOT_wa_1139_Treatment plant_raw wastewater,King,53033,896000,2022-11-17,2022-12-01,56,100,no,2022-05-22,38.5
16,47.428451,-121.791988,Washington,1139,Washington,Treatment plant,,CDC_BIOBOT_wa_1139_Treatment plant_raw wastewater,Pierce,53053,896000,2022-11-17,2022-12-01,56,100,no,2022-05-22,38.5
17,47.783075,-122.271056,Washington,1142,Washington,Treatment plant,,CDC_BIOBOT_wa_1142_Treatment plant_post grit removal,King,53033,789000,2022-11-17,2022-12-01,,100,no,2022-05-22,33.2
18,47.783075,-122.271056,Washington,1142,Washington,Treatment plant,,CDC_BIOBOT_wa_1142_Treatment plant_post grit removal,Snohomish,53061,789000,2022-11-17,2022-12-01,,100,no,2022-05-22,33.2
19,45.760949,-122.648818,Washington,499,Washington,Treatment plant,,CDC_BIOBOT_wa_499_Treatment plant_raw wastewater,Clark,53011,162100,2022-11-17,2022-12-01,88,100,no,2022-05-01,43.75
20,48.187378,-121.949309,Washington,555,Washington,Treatment plant,,CDC_BIOBOT_wa_555_Treatment plant_raw wastewater,Snohomish,53061,20000,2022-11-17,2022-12-01,,,no,2022-06-01,
21,47.831158,-122.323981,Washington,661,Washington,Treatment plant,,CDC_BIOBOT_wa_661_Treatment plant_raw wastewater,Snohomish,53061,37650,2022-11-17,2022-12-01,,100,no,2022-05-30,46.6
22,47.740301,-122.088714,Washington,676,Washington,Treatment plant,,CDC_BIOBOT_wa_676_Treatment plant_raw wastewater,Snohomish,53061,288000,2022-11-17,2022-12-01,-71,100,no,2022-05-22,28.5
23,47.740301,-122.088714,Washington,676,Washington,Treatment plant,,CDC_BIOBOT_wa_676_Treatment plant_raw wastewater,King,53033,288000,2022-11-17,2022-12-01,-71,100,no,2022-05-22,28.5
